study,model,started_at,epochs,trial,state,value,batch,lr,dropout
us8k_optuna,cnn,2025-11-22T17:12:51,12,4,PRUNED,0.34767025089605735,32,0.0010150667045928574,0.12322520635999887
us8k_optuna,cnn,2025-11-22T17:12:51,12,5,PRUNED,0.44086021505376344,64,0.0043709904681305065,0.5041986740582306
us8k_optuna,cnn,2025-11-22T17:12:51,12,6,PRUNED,0.4241338112305854,48,0.000161190447276092,0.34758845505563507
us8k_optuna,cnn,2025-11-22T17:12:51,12,7,PRUNED,0.4982078853046595,32,0.00033852267834519784,0.3600340105889054
us8k_optuna,cnn,2025-11-22T17:12:51,12,8,PRUNED,0.4253285543608124,48,0.003946212980759096,0.5474136752138244
us8k_optuna,cnn,2025-11-22T17:12:51,12,9,PRUNED,0.4014336917562724,32,0.00011935477742481393,0.2626651653816322
us8k_optuna,cnn,2025-11-22T17:12:51,12,10,COMPLETE,0.6702508960573477,16,0.0011635255221447926,0.4480589016791606
us8k_optuna,cnn,2025-11-22T17:12:51,12,11,COMPLETE,0.6654719235364397,16,0.0010848398207172934,0.4451235367845726
us8k_optuna,cnn,2025-11-22T17:12:51,12,12,PRUNED,0.3106332138590203,16,0.0018855692130124526,0.44432929185342684
us8k_optuna,cnn,2025-11-22T17:12:51,12,13,COMPLETE,0.6905615292712067,16,0.0004856169738217897,0.4087272364965105
us8k_optuna,cnn,2025-11-22T17:12:51,12,14,PRUNED,0.46953405017921146,16,0.00045655065529776805,0.37043614253462587
us8k_optuna,cnn,2025-11-22T17:12:51,12,15,PRUNED,0.45758661887694146,16,0.0005356496886852641,0.263084380742321
us8k_optuna,cnn,2025-11-22T17:12:51,12,16,PRUNED,0.4551971326164875,64,0.0002313188255617051,0.3985932550371232
us8k_optuna,cnn,2025-11-22T17:12:51,12,17,COMPLETE,0.7264038231780168,16,0.000660374526319946,0.2887471426927589
us8k_optuna,cnn,2025-11-22T17:12:51,12,18,PRUNED,0.4767025089605735,16,0.002022930871135437,0.3071019514729291
us8k_optuna,cnn,2025-11-22T17:12:51,12,19,PRUNED,0.2843488649940263,16,0.0007475656229865694,0.20555852837294913
us8k_optuna,cnn,2025-11-22T17:12:51,12,20,PRUNED,0.44922341696535245,64,0.00029901726749955045,0.21233662823410446
us8k_optuna,cnn,2025-11-22T17:12:51,12,21,PRUNED,0.3643966547192354,16,0.0006022648512319347,0.32750742429430274
us8k_optuna,cnn,2025-11-22T17:12:51,12,22,PRUNED,0.3859020310633214,16,0.0004347906786809269,0.411104540307963
us8k_optuna,cnn,2025-11-22T17:12:51,12,23,PRUNED,0.2724014336917563,16,0.0008027314064205249,0.47784482344817225
us8k_optuna,cnn,2025-11-22T17:12:51,12,24,PRUNED,0.4755077658303465,16,0.0014820234364941976,0.385178669774656
us8k_optuna,cnn,2025-11-22T17:12:51,12,25,PRUNED,0.40979689366786143,16,0.0004001056350783696,0.3082028140539163
us8k_optuna,cnn,2025-11-22T17:12:51,12,26,COMPLETE,0.6798088410991637,16,0.00024964246281791047,0.23345187603777634
us8k_optuna,cnn,2025-11-22T17:12:51,12,27,PRUNED,0.40979689366786143,16,0.0005635172576672127,0.518567448994799
us8k_optuna,cnn,2025-11-22T17:12:51,12,28,PRUNED,0.46236559139784944,48,0.0007633644537980503,0.41731628070768345
us8k_optuna,cnn,2025-11-22T17:12:51,12,29,PRUNED,0.4647550776583035,64,0.00019473835397043003,0.30502081953902066
us8k_optuna,cnn,2025-11-22T17:12:51,12,30,PRUNED,0.5089605734767025,16,0.00015636514902142486,0.12781390487537433
us8k_optuna,cnn,2025-11-22T17:12:51,12,31,PRUNED,0.6296296296296297,16,0.00022217917917971897,0.23014192932738087
us8k_optuna,cnn,2025-11-22T17:12:51,12,32,PRUNED,0.48028673835125446,16,0.0002837051455113732,0.17049015397747
us8k_optuna,cnn,2025-11-22T17:12:51,12,33,PRUNED,0.4958183990442055,16,0.0003633256761461516,0.2446574051062986
us8k_optuna,cnn,2025-11-22T17:12:51,12,34,PRUNED,0.46714456391875747,32,0.0002450656630294208,0.16925521244879205
